name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
Jalen Hurts,1,Samuel,QB,BN,28.76,0,,,,,,,0,,0,0,,3,264,,,,,,,,,0,0,0,0,7,0,62,,,,0,
Jakobi Meyers,1,Samuel,WR,BN,7.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,44,0,0,0,0,,,,9,
Le'Veon Bell,1,Samuel,RB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Justin Tucker,1,Samuel,K,K,11.0,,,0,0,0,2,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Buffalo,1,Samuel,DEF,DEF,2.0,,0,,,,,,,0,,0,,,,23,0,0,0,1,0,0,0,,,,0,,,,2,0,0,,0
Justin Herbert,1,Alex,QB,QB,14.38,0,,,,,,,1,,0,1,,1,337,,,,,,,,,0,0,0,0,4,0,-1,,,,0,
Davante Adams,1,Alex,WR,WR,8.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,56,0,0,0,0,,,,7,
Justin Jefferson,1,Alex,WR,WR,10.04,0,,,,,,,0,,0,0,,0,11,,,,,,,,,5,0,71,0,0,0,0,,,,9,
Derrick Henry,1,Alex,RB,RB,9.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,19,0,17,0,58,,,,4,
James Robinson,1,Alex,RB,RB,6.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,29,0,5,0,25,,,,6,
Jonnu Smith,1,Alex,TE,TE,7.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,42,0,1,0,6,,,,5,
DJ Moore,1,Alex,WR,W/R/T,12.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,80,0,1,0,14,,,,8,
Courtland Sutton,1,Alex,WR,BN,1.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,14,0,0,0,0,,,,3,
Ryan Fitzpatrick,1,Alex,QB,BN,0.72,0,,,,,,,0,,0,0,,0,13,,,,,,,,,0,0,0,0,1,0,2,,,,0,
Kenyan Drake,1,Alex,RB,BN,9.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,59,0,6,0,11,,,,5,
DeVonta Smith,1,Alex,WR,BN,16.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,71,0,0,0,0,,,,8,
Hunter Henry,1,Alex,TE,BN,4.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,31,0,0,0,0,,,,3,
Justin Jackson,1,Alex,RB,BN,1.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,2,0,1,0,5,,,,1,
Mason Crosby,1,Alex,K,K,3.0,,,0,0,1,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,1,Alex,DEF,DEF,-3.0,,0,,,,,,,0,,0,,,,37,0,0,0,0,0,1,0,,,,0,,,,1,0,0,,0
Patrick Mahomes,1,brandon,QB,QB,33.28,0,,,,,,,0,,0,0,,3,337,,,,,,,,,0,0,0,0,5,1,18,,,,0,
Allen Robinson II,1,brandon,WR,WR,6.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,35,0,0,0,0,,,,11,
Chris Godwin,1,brandon,WR,WR,19.0,0,,,,,,,1,,0,0,,0,0,,,,,,,,,9,1,105,0,0,0,0,,,,13,
Saquon Barkley,1,brandon,RB,RB,3.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,1,0,10,0,26,,,,3,
Trey Sermon,1,brandon,RB,RB,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
T.J. Hockenson,1,brandon,TE,TE,21.7,1,,,,,,,0,,0,0,,0,0,,,,,,,,,8,1,97,0,0,0,0,,,,11,
Ronald Jones II,1,brandon,RB,W/R/T,-0.6,0,,,,,,,1,,0,0,,0,0,,,,,,,,,0,0,0,0,4,0,14,,,,0,
Kareem Hunt,1,brandon,RB,BN,15.6,1,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,28,0,6,1,33,,,,3,
AJ Dillon,1,brandon,RB,BN,3.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,7,0,4,0,19,,,,2,
Gerald Everett,1,brandon,TE,BN,9.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,1,20,0,0,0,0,,,,2,
Kenny Golladay,1,brandon,WR,BN,8.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,64,0,0,0,0,,,,6,
Robert Tonyan,1,brandon,TE,BN,1.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,8,0,0,0,0,,,,4,
Jameis Winston,1,brandon,QB,BN,29.62,0,,,,,,,0,,0,0,,5,148,,,,,,,,,0,0,0,0,6,0,37,,,,0,
Younghoe Koo,1,brandon,K,K,6.0,,,0,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,1,brandon,DEF,DEF,8.0,,0,,,,,,,1,,1,,,,14,0,0,1,0,0,0,0,,,,0,,,,3,0,0,,0
Josh Allen,2,Brimbry,QB,QB,17.66,0,,,,,,,0,,0,1,,2,179,,,,,,,,,0,0,0,0,5,0,35,,,,0,
Stefon Diggs,2,Brimbry,WR,WR,14.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,60,0,0,0,0,,,,8,
A.J. Brown,2,Brimbry,WR,WR,5.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,43,0,0,0,0,,,,9,
Jonathan Taylor,2,Brimbry,RB,RB,5.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,2,0,15,0,51,,,,1,
D'Andre Swift,2,Brimbry,RB,RB,9.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,41,0,8,0,37,,,,5,
Noah Fant,2,Brimbry,TE,TE,11.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,33,0,0,0,0,,,,6,
Devin Singletary,2,Brimbry,RB,W/R/T,16.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,9,0,13,1,82,,,,3,
Marquise Brown,2,Brimbry,WR,BN,20.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,113,0,0,0,0,,,,10,
Jaylen Waddle,2,Brimbry,WR,BN,5.8,0,,,,,,,1,,0,0,,0,0,,,,,,,,,6,0,48,0,0,0,0,,,,8,
Ty'Son Williams,2,Brimbry,RB,BN,10.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,16,0,13,0,77,,,,2,
Odell Beckham Jr.,2,Brimbry,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Trevor Lawrence,2,Brimbry,QB,BN,8.82,0,,,,,,,0,,0,2,,1,118,,,,,,,,,0,0,0,0,2,0,21,,,,0,
Mark Ingram II,2,Brimbry,RB,BN,4.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,-1,0,14,0,41,,,,2,
Tyler Bass,2,Brimbry,K,K,5.0,,,0,0,0,0,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay,2,Brimbry,DEF,DEF,19.0,,0,,,,,,,0,,3,,,,25,0,0,0,1,0,0,0,,,,0,,,,1,0,2,,0
Jerry Jeudy,2,Brimbry,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
